repeatingunits,smiles,MolWt,Density
1,OCCO,62.036779432,1.11
2,OCCOCCO,106.06299418,1.12595825410166
3,OCCOCCOCCO,150.089208928,1.1326891506112975
4,OCCOCCOCCOCCO,194.115423676,1.1364009633373033
5,OCCOCCOCCOCCOCCO,238.141638424,1.1387528637548832
6,OCCOCCOCCOCCOCCOCCO,282.16785317200004,1.1403764976326491
7,OCCOCCOCCOCCOCCOCCOCCO,326.19406791999995,1.1415647767386634
8,OCCOCCOCCOCCOCCOCCOCCOCCO,370.2202826679999,1.142472102271433
9,OCCOCCOCCOCCOCCOCCOCCOCCOCCO,414.2464974159999,1.1431875819189348
10,OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,458.2727121639999,1.1437662441879592
11,OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,502.29892691199984,1.1442439085839946
12,OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,546.3251416599999,1.1446448945586989
13,OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,590.3513564079999,1.1449862937957966
14,OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,634.3775711559999,1.1452804696293901
15,OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,678.403785904,1.1455365863732065
16,OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,722.430000652,1.1457615811414257
17,OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,766.4562154,1.1459608016894154
18,OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,810.482430148,1.1461384369266023
19,OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,854.5086448960001,1.1462978146840581
20,OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,898.5348596440001,1.1464416121555172
21,OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,942.561074392,1.1465720074981898
22,OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,986.5872891400002,1.1466907909327075
23,OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,1030.6135038880002,1.1467994474274326
24,OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,1074.6397186360002,1.146899219099518
25,OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,1118.6659333840005,1.1469911529096652
1,OC(C)CO,76.052429496,1.04
2,OC(C)COC(C)CO,134.094294308,1.0421187954982458
3,OC(C)COC(C)COC(C)CO,192.13615912,1.042959856085826
4,OC(C)COC(C)COC(C)COC(C)CO,250.178023932,1.0434112198566357
5,OC(C)COC(C)COC(C)COC(C)COC(C)CO,308.219888744,1.0436927858697511
6,OC(C)COC(C)COC(C)COC(C)COC(C)COC(C)CO,366.261753556,1.0438851991557458
7,OC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)CO,424.303618368,1.0440250152620807
8,OC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)CO,482.3454831799999,1.0441312075295797
9,OC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)CO,540.387347992,1.0442146031636483
10,OC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)CO,598.4292128039999,1.044281831349343
11,OC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)CO,656.4710776159999,1.0443371780762885
12,OC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)CO,714.512942428,1.0443835373821078
13,OC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)CO,772.55480724,1.0444229339947737
14,OC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)CO,830.596672052,1.0444568269370005
15,OC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)CO,888.638536864,1.0444862941982447
16,OC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)CO,946.680401676,1.0445121494979732
17,OC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)CO,1004.722266488,1.0445350185915512
18,OC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)CO,1062.7641313,1.0445553905803298
19,OC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)CO,1120.8059961120002,1.0445736532840235
20,OC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)CO,1178.847860924,1.044590118166681
21,OC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)CO,1236.889725736,1.0446050382466894
22,OC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)CO,1294.9315905479998,1.0446186211915003
23,OC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)CO,1352.97345536,1.0446310390427096
24,OC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)CO,1411.0153201719995,1.0446424355415087
25,OC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)COC(C)CO,1469.0571849839996,1.0446529317180095
